date,geography,geography code,Ethnic group: Total: All usual residents,"Ethnic group: Asian, Asian British or Asian Welsh","Ethnic group: Asian, Asian British or Asian Welsh: Bangladeshi","Ethnic group: Asian, Asian British or Asian Welsh: Chinese","Ethnic group: Asian, Asian British or Asian Welsh: Indian","Ethnic group: Asian, Asian British or Asian Welsh: Pakistani","Ethnic group: Asian, Asian British or Asian Welsh: Other Asian","Ethnic group: Black, Black British, Black Welsh, Caribbean or African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Caribbean","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Other Black",Ethnic group: Mixed or Multiple ethnic groups,Ethnic group: Mixed or Multiple ethnic groups: White and Asian,Ethnic group: Mixed or Multiple ethnic groups: White and Black African,Ethnic group: Mixed or Multiple ethnic groups: White and Black Caribbean,Ethnic group: Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Ethnic group: White,"Ethnic group: White: English, Welsh, Scottish, Northern Irish or British",Ethnic group: White: Irish,Ethnic group: White: Gypsy or Irish Traveller,Ethnic group: White: Roma,Ethnic group: White: Other White,Ethnic group: Other ethnic group,Ethnic group: Other ethnic group: Arab,Ethnic group: Other ethnic group: Any other ethnic group
2021,Hartlepool,E06000001,92338,1600,278,217,335,297,473,445,327,57,61,671,240,115,143,173,89068,87761,170,37,19,1081,554,270,284
2021,Middlesbrough,E06000002,143922,15090,595,669,2804,8990,2032,3816,3339,162,315,3001,1110,650,570,671,118547,114421,434,160,320,3212,3468,1452,2016
2021,Redcar and Cleveland,E06000003,136530,1160,158,208,175,283,336,265,182,48,35,1185,460,215,270,240,133388,131789,350,87,14,1148,532,321,211
2021,Stockton-on-Tees,E06000004,196593,9052,236,690,1812,4875,1439,2203,1823,130,250,2737,1131,469,412,725,180937,177526,528,145,143,2595,1664,558,1106
2021,Darlington,E06000005,107796,2966,759,308,1086,195,618,701,456,135,110,1472,516,198,384,374,101725,97320,342,434,104,3525,932,329,603
2021,Halton,E06000006,128478,1436,58,418,375,125,460,511,293,84,134,1791,461,342,530,458,123976,120301,685,91,68,2831,764,241,523
2021,Warrington,E06000007,210973,6954,197,1326,2347,1760,1324,1576,1075,277,224,3335,1204,593,785,753,197305,185940,1366,115,167,9717,1803,393,1410
2021,Blackburn with Darwen,E06000008,154741,55178,1473,400,24389,27525,1391,1406,1061,170,175,2596,1329,231,368,668,93392,87997,589,101,143,4562,2169,841,1328
2021,Blackpool,E06000009,141039,3676,442,542,892,572,1228,711,449,175,87,2210,645,408,638,519,133550,127445,808,236,207,4854,892,216,676
2021,"Kingston upon Hull, City of",E06000010,267013,7515,1279,1234,1259,1292,2451,5065,4292,232,541,4513,1172,1144,948,1249,244989,223962,455,451,286,19835,4931,1443,3488
2021,East Riding of Yorkshire,E06000011,342215,3686,129,766,1210,528,1053,894,617,173,104,3197,1092,547,707,851,333162,323838,1063,324,118,7819,1276,368,908
2021,North East Lincolnshire,E06000012,156967,2437,318,438,543,336,802,846,644,98,104,1617,502,306,377,432,151030,145362,320,65,127,5156,1037,366,671
2021,North Lincolnshire,E06000013,169684,5622,1840,451,1126,1013,1192,818,663,85,70,1820,717,289,356,458,160052,150554,556,168,226,8548,1372,224,1148
2021,York,E06000014,202821,7634,413,2889,1853,545,1934,1325,978,208,139,3741,1579,494,631,1037,188167,176963,1317,368,222,9297,1954,623,1331
